,subject,date,eid,probe,region,f1,accuracy,auroc,chance_level
0,ZM_2245,2020-01-21,cb2ad999-a6cb-42ff-bf71-1774c57e5308,probe01,MOs,0.32440944881889766,0.4514066496163683,0.4160502837005332,0.4641943734015345
0,ZM_2245,2020-01-21,cb2ad999-a6cb-42ff-bf71-1774c57e5308,probe01,MOs,0.32440944881889766,0.4514066496163683,0.4160502837005332,0.4641943734015345
0,ZM_2245,2020-01-21,cb2ad999-a6cb-42ff-bf71-1774c57e5308,probe01,STR,0.6101694915254238,0.5294117647058824,0.4811666239307809,0.4641943734015345
0,ZM_2245,2020-01-21,cb2ad999-a6cb-42ff-bf71-1774c57e5308,probe01,VL,0.6660287081339713,0.5537084398976982,0.5268677225717799,0.4641943734015345
0,ZM_2245,2020-01-21,cb2ad999-a6cb-42ff-bf71-1774c57e5308,probe01,aco,0.5895598771750256,0.48721227621483376,0.4667744925935423,0.4641943734015345
0,ZM_2245,2020-01-21,cb2ad999-a6cb-42ff-bf71-1774c57e5308,probe01,ccb,0.656556645851918,0.5076726342710998,0.3721638165118313,0.4641943734015345
0,ZM_2245,2020-01-21,cb2ad999-a6cb-42ff-bf71-1774c57e5308,probe01,cing,0.6020833333333334,0.5115089514066496,0.4688389646081119,0.4641943734015345
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,APN,0.10052910052910052,0.4426229508196721,0.40820419619524884,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,CA,0.6068965517241379,0.5327868852459017,0.5001881943025519,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,DG-mo,0.600265604249668,0.5065573770491804,0.519824925528826,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,DG-sg,0.6020671834625323,0.49508196721311476,0.4488810504468271,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,MRN,0.6246786632390746,0.521311475409836,0.5765735732183377,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,VISpm,0.5536547433903578,0.5295081967213114,0.543187903945628,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,VISpm,0.5536547433903578,0.5295081967213114,0.543187903945628,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,VISpm,0.5536547433903578,0.5295081967213114,0.543187903945628,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,alv,0.5274074074074074,0.47704918032786886,0.482368882340922,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,bsc,0.2801932367149758,0.5114754098360655,0.5176580025594425,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,fp,0.5628571428571428,0.49836065573770494,0.4792072180580499,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe00,or,0.6363636363636362,0.5540983606557377,0.5595769392078632,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe01,APN,0.40852575488454707,0.4540983606557377,0.4629526072976374,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe01,CA,0.5978260869565218,0.5147540983606558,0.5264870038391638,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe01,DG-mo,0.4919093851132686,0.4852459016393443,0.5071513834969728,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe01,MRN,0.3509513742071882,0.4967213114754098,0.4794653131015496,0.4901639344262295
0,CSHL047,2020-01-21,b52182e7-39f6-4914-9717-136db589706e,probe01,VISpm,0.43396226415094336,0.5081967213114754,0.547451849143447,0.4901639344262295
