,subject,date,eid,probe,region,f1,f1_shuffle,accuracy,accuracy_shuffle,auroc,auroc_shuffle
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe00,CA,0.6791785448176604,0.6867439730681457,0.5442090336134454,0.5395976890756303,0.49957344070212956,0.48645879221242094
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe00,DG-mo,0.7060174073618571,0.7070036573205444,0.5475304621848741,0.5478224789915966,0.4244097901630579,0.4683776418961062
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe00,DG-sg,0.6794927098902285,0.6859229830892177,0.5614128151260505,0.5391092436974788,0.5377742292613383,0.4870359106299563
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe00,LP,0.6497225500541108,0.654719871572114,0.5467405462184873,0.5279905462184874,0.5324039940301166,0.49103889779916243
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe00,PO,0.6667610559610011,0.6510090971485346,0.572893907563025,0.5267090336134455,0.5711594738483472,0.4914584536220261
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe00,RSPagl,0.662230701731658,0.6734977604653177,0.557485294117647,0.5347058823529413,0.5414270048115477,0.4894314799964359
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe00,RSPagl,0.6621663753125678,0.674343869484238,0.5574779411764706,0.53496743697479,0.5412381493361845,0.490213416644391
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe00,ccb,0.6777379384855181,0.6904679194641913,0.5705294117647058,0.5410556722689075,0.5356046689833377,0.4858296444800856
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe01,AON,0.6708837553422472,0.6765954707950493,0.5639474789915967,0.5353665966386555,0.5396815869197185,0.48896779158870174
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe01,ORBm,0.6838527538384538,0.6951127598637966,0.5398319327731091,0.5425210084033613,0.4759536999910897,0.4825244186046512
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe01,ORBm,0.6838892341430692,0.6953271330185913,0.5396071428571428,0.5429159663865546,0.47504732914550474,0.4812894435534171
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe01,PL,0.6036484245439466,0.6708302590662231,0.49789915966386555,0.5332205882352942,0.4601621402477056,0.49003199233716477
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe01,PL,0.6036484245439466,0.6713958818829915,0.49789915966386555,0.5337731092436975,0.460162033324423,0.49102411342778224
0,SWC_015,2020-01-20,34d20aff-10e5-4a07-8b08-64051a1dc6ac,probe01,TTd,0.6808328124255651,0.6878238869503516,0.5313014705882354,0.5401911764705883,0.46730703243339566,0.48586270605007575
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,CA,0.481667853471941,0.49798440414980744,0.477875,0.4960747663551402,0.47457251764628816,0.4937777168187005
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,DG-po,0.4902300312388267,0.4993414187398671,0.44554556074766355,0.49570093457943926,0.44134986052199165,0.4930619762750911
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,LP,0.4306264605921344,0.5005767261638319,0.45328271028037387,0.49658644859813084,0.44418791045020556,0.4938869409279245
0,CSHL047,2020-01-20,89f0d6ff-69f4-45bc-b89e-72868abb042a,probe00,POL,0.48104344207031885,0.4992121123070855,0.47501635514018686,0.49622429906542054,0.4727137179760131,0.49400800565554664
